Date,USD
2023-12-03,410.52763157894736
2023-12-04,2742.4855263157897
2023-12-05,2073.7805263157893
2023-12-06,3098.0157894736844
2023-12-07,1104.2802631578948
2023-12-08,674.298947368421
2023-12-09,782.058947368421
2023-12-10,617.078947368421
2023-12-11,823.6252631578947
2023-12-12,2535.600263157895
2023-12-13,1114.2121052631578
2023-12-14,1355.6860526315788
2023-12-15,728.046052631579
2023-12-16,446.3157894736842
2023-12-17,678.9473684210526
2023-12-18,838.3684210526316
2023-12-19,689.7871052631579
2023-12-20,651.0578947368421
2023-12-21,951.0602631578947
2023-12-22,1353.0263157894735
2023-12-23,932.3684210526316
2023-12-24,263.1578947368421
2023-12-25,1824.6786842105262
2023-12-26,900.0263157894738
2023-12-27,1215.9602631578946
2023-12-28,3089.1839473684213
2023-12-29,2514.3026315789475
2023-12-30,730.6315789473684
2023-12-31,2410.4736842105262
2024-01-01,1195.887894736842
2024-01-02,2632.1073684210523
